"USDA, FDA and ODS-NIH Database for the Iodine Content of Common Foods per Serving, Release 4, October 2024",,,,,,,,,,,,,,
DB_ID,"Standard Reference (Foundation FoodsA) 
FDC NDB No.",TDS No.,Description,Serving size,Serving measure,Serving weight (g),Iodine      (mcg/ serving)B,n,SD ,Min,Max,Source,Serving size referenceC,
124,03133,227,"Baby food, pears",0.50,cup,113,0.1,15,0.1,0.0,0.1,FDA,USDA,
296,03159,713,"Baby food, pears and pineapple ",0.50,cup,113,0.2,7,0.1,0.0,0.3,FDA,USDA,
465,,746,"Baby food, organic pears and spinach, pouch",3.50,oz,99,0.7,5,0.2,0.5,1.0,FDA,label,
468,,749,"Baby food, pear, blueberry, apple and avocado, pouch",3.50,oz,99,0.4,5,0.1,0.3,0.6,FDA,label,
478,,760,"Baby food, pear, mango, avocado, pouch",3.50,oz,99,0.1,5,0.3,0.0,0.6,FDA,label,
297,03170,714,"Baby food, plums/prunes with apples or pears",0.50,cup,113,0.6,7,0.8,0.0,2.5,FDA,USDA,
241,03139,736,"Baby food, prunes",0.50,cup,113,1.2,8,0.7,0.6,2.7,FDA,USDA,
477,,759,"Baby food, mango, carrot and turmeric, bowl",3.75,oz,102,0.7,2,,0.7,0.7,FDA,label,
459,,740,"Baby food, mango, glass jar",4,oz,113,0.4,5,0.1,0.3,0.5,FDA,label,
460,,741,"Baby food, mango, pouch",3.50,oz,99,0.6,5,0.1,0.6,0.7,FDA,label,
479,,761,"Baby food, mango, yellow zucchini, corn and turmeric, pouch",3.50,oz,99,1.4,2,,1.3,1.6,FDA,label,
125,03166,230,"Baby food, juice, apple ",4,fl oz  ,125,1.3,15,1.5,0.0,4.8,FDA,USDA,
237,44074,712,"Baby food, juice, grape ",4,fl oz  ,118,1.0,15,0.6,0.4,2.1,FDA,USDA,
236,43408,711,"Baby food, juice, pear ",4,fl oz  ,125,0.3,15,0.4,0.0,1.4,FDA,USDA,
480,,762,"Baby food, juice, mixed fruit",4,fl oz  ,113,0.0,3,0.0,0.0,0.0,FDA,label,
117,03100,218,"Baby food, carrots ",0.50,cup,113,0.5,21,0.5,0.0,1.6,FDA,USDA,
118,03092,219,"Baby food, green beans",0.50,cup,113,0.4,15,0.4,0.0,1.4,FDA,USDA,
121,03121,223,"Baby food, peas",0.50,cup,113,0.1,15,0.1,0.0,0.2,FDA,USDA,
466,,747,"Baby food, peas and spinach, glass jar",4,oz,113,0.0,1,,,,FDA,label,
469,,750,"Baby food, peas, green beans and avocado, pouch",3.50,oz,99,0.4,5,0.1,0.3,0.5,FDA,label,
476,,758,"Baby food, pumpkin, banana, papaya and cardamom, bowl",3.60,oz,102,0.2,3,0.2,0.0,0.3,FDA,label,
159,03105,320,"Baby food, squash ",0.50,cup,113,0.4,15,0.5,0.0,1.4,FDA,USDA,
120,03109,221,"Baby food, sweet potatoes",0.50,cup,113,0.4,15,0.2,0.0,0.9,FDA,USDA,
475,,757,"Baby food, sweet potato, apple and corn, pouch",3.50,oz,99,0.8,5,0.2,0.5,0.9,FDA,label,
467,,748,"Baby food, sweet potato, apple and spinach, pouch",3.50,oz,99,1.0,5,0.2,0.8,1.3,FDA,label,
119,03279,220,"Baby food, vegetables, mixed",0.50,cup,113,0.5,15,0.2,0.0,1.0,FDA,USDA,
482,03189,764,"Baby food, cereal, oatmeal, dry",0.25,cup,15,0.1,7,0.2,0.0,0.4,FDA,label,
483,,765,"Baby food, cereal, rice, dry",0.25,cup,15,0.0,9,0.0,0.0,0.0,FDA,label,
484,,766,"Baby food, cereal, mixed, dry",0.25,cup,15,0.2,7,0.3,0.0,0.6,FDA,label,
278,,701,"Baby food, cereal, mixed, prepared with water",0.50,cup,110,0.0,8,0.1,0.0,0.1,FDA,FDA,
300,,725,"Baby food, cereal, oatmeal with fruit, prepared with water",0.50,cup,110,0.0,7,0.1,0.0,0.1,FDA,FDA,
258,,323,"Baby food, cereal, oatmeal, prepared with water ",0.50,cup,110,0.1,8,0.2,0.0,0.4,FDA,FDA,
259,,324,"Baby food, cereal, rice, prepared with water",0.50,cup,110,0.0,20,0.1,0.0,0.3,FDA,FDA,
471,,753,"Baby food, organic yogurt, apple, pumpkin, cinnamon and quinoa, pouch",3.50,oz,99,11,4,2.1,8.7,13,FDA,label,
238,43523,721,"Baby food, fruit yogurt dessert",0.50,cup,113,26,15,6.2,16,36,FDA,USDA,
481,,763,"Baby food, yogurt, peach pear",4,oz,113,37,3,4.3,34,42,FDA,label,
257,,317,"Baby food, biscuits, teething",2,"cookies (3"" x 1"")",22,4.4,15,1.8,0.7,6.2,FDA,FNDDS,
299,03214,723,"Baby food, cookies, arrowroot",4,cookies,20,1.8,8,0.4,1.2,2.7,FDA/USDA,"FDA, USDA",
280,,733,"Baby food, finger foods, puffed snack",1.50,cup,21,0.1,8,0.2,0.0,0.5,FDA,FNDDS,
432,42284,,"Baby food, finger food, baked product, cereal, fortified",12,pieces,20,1.5,1,,,,USDA,"FDA, USDA",
114,03069,214,"Baby food, chicken noodle dinner",0.75,cup,170,0.9,15,1.2,0.0,4.4,FDA,"FDA, USDA",
301,43008,726,"Baby food, chicken with rice",0.75,cup,170,1.2,7,0.8,0.0,2.2,FDA,"FDA, USDA",
279,,732,"Baby food, macaroni and cheese with vegetables ",0.75,cup,170,12,14,2.3,7.1,15,FDA,"FDA, USDA",
115,03045,215,"Baby food, pasta, tomato and beef",0.75,cup,170,3.5,15,2.4,0.0,7.8,FDA,"FDA, USDA",
242,03046,737,"Baby food, ravioli, cheese-filled, with tomato sauce",0.75,cup,170,7.7,8,1.0,6.3,9.9,FDA,"FDA, USDA",
111,03002,205,"Baby food, beef and broth/gravy ",0.75,cup,170,2.1,15,1.4,0.0,5.1,FDA,"FDA, USDA",
343,03013,207,"Baby food, chicken and broth/gravy ",0.75,cup,170,47,7,14,18,60,FDA,"FDA, USDA",
160,03016,328,"Baby food, turkey and broth/gravy",0.75,cup,170,1.8,15,0.9,0.0,4.3,FDA,"FDA, USDA",
116,03083,216,"Baby food, turkey and rice",0.75,cup,170,0.8,15,0.7,0.0,3.1,FDA,"FDA, USDA",
472,,754,"Baby food, turkey, quinoa, apple and sweet potato, pouch",3.50,oz,99,0.7,5,0.1,0.6,0.7,FDA,label,
112,03055,211,"Baby food, vegetables and beef ",0.75,cup,170,0.9,10,0.7,0.0,1.9,FDA,"FDA, USDA",
