"USDA, FDA and ODS-NIH Database for the Iodine Content of Common Foods per Serving, Release 4, October 2024",,,,,,,,,,,,,,
DB_ID,"Standard Reference (Foundation FoodsA) 
FDC NDB No.",TDS No.,Description,Serving size,Serving measure,Serving weight (g),Iodine      (mcg/ serving)B,n,SD ,Min,Max,Source,Serving size referenceC,
202,21299,404,"Pizza, cheese, fast food",1/8,"large (13-15"" diameter) pizza",120,15,30,3.5,6.8,20,FDA/USDA,FNDDS,
435,,,"Pizza, crust only, fast food",1/8,"large (13-15"" diameter) pizza",50,0.8,9,0.0,0.8,0.8,USDA,estimate,
408,21484,,"Pizza, with sausage topping, regular crust, fast food",1/8,"large (13-15"" diameter) pizza",138,18,1,,,,USDA,FNDDS,
139,21138,258,"Potatoes, French fries, fast food",1,"""small"" serving",71,0.8,35,1.5,0.0,7.2,FDA,"FDA, USDA",
2,21112,147,"Sandwich, hamburger, single, large patty, fast food",1,sandwich,175,5.9,7,2.4,3.5,10,FDA,FNDDS,
406,21092,,"Sandwich, cheeseburger, double, regular patty, plain, fast food",1,sandwich,270,30,8,7.4,20,39,USDA,FNDDS,
443,21092*,,"Sandwich, cheeseburger, double, regular patty, fast food (bun w iodate dough conditioner)",1,sandwich,270,752,4,259,443,1058,USDA,FNDDS,
286,21096,275,"Sandwich, cheeseburger, single, large patty, fast food",1,sandwich,182,19,9,4.0,14,26,FDA/USDA,USDA,
11,21490,366,"Sandwich, chicken filet (broiled) sandwich, fast food",1,sandwich,230,4.2,7,3.7,0.9,10,FDA,USDA,
288,21021,278,"Sandwich, egg, cheese, and ham on English muffin, fast food",1,sandwich,126,31,8,7.4,20,40,FDA/USDA,USDA,
287,21105,276,"Sandwich, fish, fast food",1,sandwich,220,80,10,27,50,131,FDA/USDA,USDA,
405,21059,,"Shrimp, breaded and fried, fast food",3,oz,85,6.3,2,,6.3,6.3,USDA,"FDA, USDA",
4,21486,279,"Taco/tostada with beef and cheese, from Mexican carry-out",1,each,102,7.2,7,2.7,4.5,12,FDA,USDA,
Restaurant Foods (excluding Fast Food Restaurants),,,,,,,,,,,,,,
7,36603,362,"Beef with vegetables in sauce, restaurant, Chinese",1,cup,162,6.9,7,8.4,1.0,25,FDA,FNDDS,
428,36050,,"Cheese enchilada, restaurant, Mexican",1,enchilada,137,22,1,,,,USDA,USDA,
429,36052,,"Cheese quesadilla, restaurant, Mexican",1,"quesadilla (8-10"" diameter)",194,45,1,,,,USDA,USDA,
430,36055,,"Cheese ravioli with marinara sauce, restaurant, Italian",1,cup,250,54,1,,,,USDA,FNDDS,
8,36626,363,"Chicken with vegetables in sauce, restaurant, Chinese",1,cup,153,5.7,7,7.0,1.2,19,FDA,USDA,
444,36033,,"Fish fillet, parmesan crusted tilapia, restaurant, family style",3,oz,85,11,1,,,,,"FDA, USDA",
436,,,"Fish, salmon, grilled, restaurant",3,oz,85,6.3,1,,,,USDA,"FDA, USDA",
423,36012,,"Fried mozzarella sticks, restaurant, family style",3,pieces,93,35,3,3.8,32,39,USDA,USDA,
9,36602,364,"Fried rice, meatless, restaurant, Chinese",1,cup,137,7.5,7,7.6,1.6,23,FDA,USDA,
427,36041,,"Lasagna with meat, restaurant, Italian",1,"2.5"" X 4"" piece  ",206,57,1,,,,USDA,FNDDS,
425,36017,,"Macaroni & cheese, from kids' menu, restaurant, family style",1,cup,136,30,10,10.0,18,44,USDA,USDA,
431,36620,,"Shrimp and vegetables, restaurant, Chinese",1,cup,162,2.4,1,,,,USDA,FNDDS,
Sausage and Luncheon Meats,,,,,,,,,,,,,,
32,07959,29,Bologna (beef/pork) ,2,slices,56,14,10,5.4,7.3,24,FDA,"FDA, USDA",
31,07949,28,"Frankfurter, beef/pork, boiled16",1,frankfurter,52,4.6,28,6.1,0.0,31,FDA,USDA,
369,07945,,"Frankfurter, beef, heated",1,frankfurter,48,3.6,2,,3.6,3.6,USDA,USDA,
261,07081,335/543,Luncheon meat (chicken/turkey) ,3,oz,85,3.0,10,1.4,0.0,4.6,FDA,"FDA, USDA",
129,07028,239,"Luncheon meat, ham",3,oz,85,1.0,10,0.8,0.0,2.6,FDA,"FDA, USDA",
188,07072,389,"Salami, dry/hard",1,oz,30,3.0,31,2.8,0.8,14,FDA/USDA,FDA,
243,,30,"Salami, luncheon-meat type (not hard) ",2,oz,60,7.4,7,4.8,2.1,14,FDA,"FDA, USDA",
367,07019,,"Sausage, pork, chorizo, raw",1,"link, 4"" long",60,18,1,,,,USDA,"FDA, USDA",
28,07953,19,"Sausage, pork, oven-cooked",3,links,63,2.6,35,1.9,0.0,6.9,FDA,"FDA, USDA",
Meats,,,,,,,,,,,,,,
130,05064,240,"Chicken breast, oven-roasted (skin removed) ",3,oz,85,1.0,35,1.6,0.0,6.9,FDA,"FDA, USDA",
163,05098,337,"Chicken thigh, oven-roasted (skin removed) ",3,oz,85,0.7,35,1.5,0.0,8.1,FDA,"FDA, USDA",
30,05192,26,"Turkey breast, oven-roasted",3,oz,85,4.1,35,11,0.0,52,FDA,"FDA, USDA",
189,05306,390,"Turkey, ground, pan-cooked",3,oz,85,3.3,28,3.9,0.0,15,FDA,"FDA, USDA",
26,10136,17,"Ham, cured (not canned), baked",3,oz,85,0.6,35,1.2,0.0,5.0,FDA,"FDA, USDA",
29,10860,20,"Pork bacon, oven-cooked",2,slices,16,0.2,35,0.3,0.0,1.2,FDA,"FDA, USDA",
27,10179,18,"Pork chop, pan-cooked with oil",3,oz,85,0.4,35,1.1,0.0,5.8,FDA,"FDA, USDA",
333,,21,"Pork roast, loin, oven-roasted ",3,oz,85,0.3,7,0.3,0.0,0.8,FDA,"FDA, USDA",
335,17204,27,"Beef/calf, liver, pan-cooked with oil",3,oz,85,14,7,4.2,6.5,18,FDA,"FDA, USDA",
251,,13,"Beef, ground, pan-cooked",3,oz,85,6.4,35,2.6,2.8,16,FDA,"FDA, USDA",
334,,14,"Beef roast, chuck, oven-roasted ",3,oz,85,3.3,8,1.9,1.5,7.0,FDA,"FDA, USDA",
260,,334,"Beef steak, loin/sirloin, broiled ",3,oz,85,4.0,34,1.4,0.0,7.1,FDA,"FDA, USDA",
252,,22,"Lamb chop, pan-cooked with oil",3,oz,85,2.1,35,2.3,0.0,10,FDA,"FDA, USDA",
AA six-digit code is used for Foundation Foods in parentheses to distinguish items from Standard Reference legacy,,,,,,,,,,,,,,
"BMeasurements below the LOD or RL are displayed as zero (0), with trace values between the LOD and LOQ reported as the detected iodine concentrations",,,,,,,,,,,,,,
CSee Documentation for reference details.  Abbreviations: FDA= Food and Drug Administration's Reference Amounts Customarily Consumed; USDA=USDA's SR Legacy (within USDA's FoodData Central database); FNDDS=Food and Nutrient Database for Dietary Studies (within USDA's FoodData Central database). ,,,,,,,,,,,,,,
"DDataset includes samples analyzed by the FDA's Center for Food Safety and Applied Nutrition laboratory in College Park, Maryland",,,,,,,,,,,,,,
*TDS and/or NDB identifiers with asterisks indicate products that differ from the generic product in that they contain iodate dough conditioners  ,,,,,,,,,,,,,,
1Omitted sample with value of 75 mcg I/seving as an outlier,,,,,,,,,,,,,,
2USDA water samples analyzed by FDA,,,,,,,,,,,,,,
3Grain products prepared without salt unless otherwise noted,,,,,,,,,,,,,,
4Omitted sample with 139 mcg I/serving– value probably from FD&C Red No. 3 food coloring,,,,,,,,,,,,,,
5Omitted 3 samples with values from 36 - 112 mcg I/serving – probably mixture of breads with and without iodate dough conditioners,,,,,,,,,,,,,,
6Omitted 6 samples with values from 65 - 210 mcg I/serving – probably mixture of breads with and without iodate dough conditioners,,,,,,,,,,,,,,
7Omitted 11 samples with values from 19 - 155 mcg I/serving – probably mixture of breads with and without iodate dough conditioners,,,,,,,,,,,,,,
8Omitted 10 samples with values from 55 - 145 mcg I/serving – probably mixture of breads with and without iodate dough conditioners,,,,,,,,,,,,,,
9Omitted sample with 100 mcg I/serving – value probably from FD&C Red No. 3 food coloring ,,,,,,,,,,,,,,
10Omitted sample with 76 mcg I/serving – value probably from FD&C Red No. 3  food coloring,,,,,,,,,,,,,,
11Omitted 3 samples with 198 and 214 mcg I/serving – values probably from FD&C Red No. 3 food coloring,,,,,,,,,,,,,,
12Omitted 2 samples with 14 and 331 mcg I/serving – values probably from FD&C Red No. 3 food coloring,,,,,,,,,,,,,,
13Omitted 9 samples from 78 to 322 mcg I/serving – values probably from FD&C Red No. 3 food coloring,,,,,,,,,,,,,,
14Omitted sample with 545 mcg I/100g serving – value probably from FD&C Red No. 3 food coloring,,,,,,,,,,,,,,
"15Omitted samples with values of 32 and 35 mcg I/serving – values may reflect the use of disinfectant during poultry cleaning, but we were unable to confirm this use ",,,,,,,,,,,,,,
"16Omitted sample with value of 520 mcg I/serving as an outlier, although value was confirmed by the lab",,,,,,,,,,,,,,
